"","cl","Sample","NorExpress","ID"
"1","cluster_1","kit_germfree1",-0.352007735082003,1
"2","cluster_2","kit_germfree1",0.772390345193039,2
"3","cluster_3","kit_germfree1",0.492904675561264,3
"4","cluster_4","kit_germfree1",-0.563519995451505,4
"5","cluster_5","kit_germfree1",1.10566183234712,5
"6","cluster_6","kit_germfree1",-0.272818385747554,6
"7","cluster_7","kit_germfree1",1.38716164882962,7
"8","cluster_8","kit_germfree1",-0.490407909256334,8
"9","cluster_9","kit_germfree1",0.191408096539299,9
"10","cluster_10","kit_germfree1",0.595478392738851,10
"11","cluster_1","kit_germfree3",-0.277791627671937,11
"12","cluster_2","kit_germfree3",0.861122569258198,12
"13","cluster_3","kit_germfree3",0.337323584142596,13
"14","cluster_4","kit_germfree3",-0.584008729810235,14
"15","cluster_5","kit_germfree3",1.71505808262475,15
"16","cluster_6","kit_germfree3",-0.357557907928381,16
"17","cluster_7","kit_germfree3",1.37659787744935,17
"18","cluster_8","kit_germfree3",-0.577774047245401,18
"19","cluster_9","kit_germfree3",0.416533955976645,19
"20","cluster_10","kit_germfree3",0.969515962561434,20
"21","cluster_1","kit_germfree4",-0.388797401097746,21
"22","cluster_2","kit_germfree4",0.734314047043555,22
"23","cluster_3","kit_germfree4",0.513097911919359,23
"24","cluster_4","kit_germfree4",-0.577667296352591,24
"25","cluster_5","kit_germfree4",1.02820121325507,25
"26","cluster_6","kit_germfree4",-0.349409145060934,26
"27","cluster_7","kit_germfree4",1.15477676988375,27
"28","cluster_8","kit_germfree4",-0.524046688314745,28
"29","cluster_9","kit_germfree4",0.172524870497789,29
"30","cluster_10","kit_germfree4",0.550250075497658,30
"31","cluster_1","kit_microbiota1",-0.570391356623212,31
"32","cluster_2","kit_microbiota1",0.597863907604871,32
"33","cluster_3","kit_microbiota1",0.715859740813062,33
"34","cluster_4","kit_microbiota1",-0.347591581901645,34
"35","cluster_5","kit_microbiota1",-0.60140492500473,35
"36","cluster_6","kit_microbiota1",1.26536767582158,36
"37","cluster_7","kit_microbiota1",-0.203617928588903,37
"38","cluster_8","kit_microbiota1",0.64883252734541,38
"39","cluster_9","kit_microbiota1",-0.583581377472678,39
"40","cluster_10","kit_microbiota1",-0.763703385364851,40
"41","cluster_1","kit_microbiota2",-0.55030557064953,41
"42","cluster_2","kit_microbiota2",0.58701537548465,42
"43","cluster_3","kit_microbiota2",0.751508146229365,43
"44","cluster_4","kit_microbiota2",-0.323919330296092,44
"45","cluster_5","kit_microbiota2",-0.635947799372861,45
"46","cluster_6","kit_microbiota2",1.26015245972584,46
"47","cluster_7","kit_microbiota2",-0.236408966242171,47
"48","cluster_8","kit_microbiota2",0.68976480545951,48
"49","cluster_9","kit_microbiota2",-0.485963768432749,49
"50","cluster_10","kit_microbiota2",-0.7978233218069,50
"51","cluster_1","kit_microbiota3",-0.554133967149432,51
"52","cluster_2","kit_microbiota3",0.430029274578667,52
"53","cluster_3","kit_microbiota3",1.13697613201992,53
"54","cluster_4","kit_microbiota3",-0.21510278058224,54
"55","cluster_5","kit_microbiota3",-0.62223800886187,55
"56","cluster_6","kit_microbiota3",1.41634085972546,56
"57","cluster_7","kit_microbiota3",-0.22895505912095,57
"58","cluster_8","kit_microbiota3",1.12736831917421,58
"59","cluster_9","kit_microbiota3",-0.515699369040648,59
"60","cluster_10","kit_microbiota3",-0.817743911122906,60
"61","cluster_1","MH63_germfree2",1.57583524940883,61
"62","cluster_2","MH63_germfree2",-0.626299012218674,62
"63","cluster_3","MH63_germfree2",-1.38943387345811,63
"64","cluster_4","MH63_germfree2",-0.332644296567111,64
"65","cluster_5","MH63_germfree2",-0.246422382179093,65
"66","cluster_6","MH63_germfree2",-0.782692561676185,66
"67","cluster_7","MH63_germfree2",-0.793149413169475,67
"68","cluster_8","MH63_germfree2",-1.10302024724997,68
"69","cluster_9","MH63_germfree2",-0.655878248805383,69
"70","cluster_10","MH63_germfree2",0.952387018362362,70
"71","cluster_1","MH63_germfree3",1.70371338607278,71
"72","cluster_2","MH63_germfree3",-0.592765363306896,72
"73","cluster_3","MH63_germfree3",-1.44073837625818,73
"74","cluster_4","MH63_germfree3",-0.38592995416909,74
"75","cluster_5","MH63_germfree3",-0.253153197082974,75
"76","cluster_6","MH63_germfree3",-0.785458125700719,76
"77","cluster_7","MH63_germfree3",-0.798838342071125,77
"78","cluster_8","MH63_germfree3",-1.18401124278207,78
"79","cluster_9","MH63_germfree3",-0.721295639127565,79
"80","cluster_10","MH63_germfree3",1.0267764111474,80
"81","cluster_1","MH63_microbiota1",-0.317774436748194,81
"82","cluster_2","MH63_microbiota1",-1.36911095589447,82
"83","cluster_3","MH63_microbiota1",-0.574302810453067,83
"84","cluster_4","MH63_microbiota1",1.61420926655847,84
"85","cluster_5","MH63_microbiota1",-0.780359349283821,85
"86","cluster_6","MH63_microbiota1",-0.673644182407561,86
"87","cluster_7","MH63_microbiota1",-0.831234165039958,87
"88","cluster_8","MH63_microbiota1",0.779916582007153,88
"89","cluster_9","MH63_microbiota1",0.29074857296531,89
"90","cluster_10","MH63_microbiota1",-0.888320504885813,90
"91","cluster_1","MH63_microbiota3",-0.26834654045956,91
"92","cluster_2","MH63_microbiota3",-1.39456018774293,92
"93","cluster_3","MH63_microbiota3",-0.543195130516217,93
"94","cluster_4","MH63_microbiota3",1.71617469857204,94
"95","cluster_5","MH63_microbiota3",-0.7093954664416,95
"96","cluster_6","MH63_microbiota3",-0.720280686751542,96
"97","cluster_7","MH63_microbiota3",-0.826332421930145,97
"98","cluster_8","MH63_microbiota3",0.633377900862231,98
"99","cluster_9","MH63_microbiota3",1.89120290689998,99
"100","cluster_10","MH63_microbiota3",-0.82681673712723,100
