"","Term.Name","MainClass","GeneNo","AllGenesInSelectedSet","GeneHitsInBackground","AllGenesInBackground","p.value","enrichFactor","GeneListInSelectedSets","padj","Type","padj_log10"
"15","Amino acid metabolism","A09100 Metabolism",83,1062,773,15766,1.43e-05,1.594026745,"[LOC_Os03g12890.1, LOC_Os10g40360.1, LOC_Os05g48200.1, LOC_Os10g04860.1, LOC_Os03g27230.1, LOC_Os04g02754.1, LOC_Os09g37120.1, LOC_Os01g39860.1, LOC_Os08g04540.1, LOC_Os04g57410.1, LOC_Os12g34380.1, LOC_Os12g08260.1, LOC_Os03g09910.1, LOC_Os04g40040.1, LOC_Os03g03910.1, LOC_Os02g19924.1, LOC_Os04g46560.1, LOC_Os04g03980.1, LOC_Os03g08660.1, LOC_Os11g08380.1, LOC_Os07g42924.1, LOC_Os09g39230.1, LOC_Os11g42510.1, LOC_Os01g52260.1, LOC_Os04g43800.1, LOC_Os06g37590.1, LOC_Os03g08999.1, LOC_Os02g42330.1, LOC_Os08g38370.1, LOC_Os03g13300.1, LOC_Os06g01590.1, LOC_Os04g10530.1, LOC_Os05g43510.1, LOC_Os12g10730.1, LOC_Os04g37500.1, LOC_Os04g01690.1, LOC_Os03g06654.1, LOC_Os05g03820.1, LOC_Os04g56400.1, LOC_Os03g57690.1, LOC_Os10g26010.1, LOC_Os01g21380.1, LOC_Os04g32010.1, LOC_Os04g01590.1, LOC_Os10g38050.1, LOC_Os05g43830.1, LOC_Os01g12490.1, LOC_Os12g42980.1, LOC_Os03g06200.1, LOC_Os08g04560.1, LOC_Os01g27770.1, LOC_Os11g10510.1, LOC_Os09g27820.1, LOC_Os01g09700.1, LOC_Os02g51810.1, LOC_Os04g48850.1, LOC_Os07g25590.1, LOC_Os09g08130.1, LOC_Os06g05700.1, LOC_Os09g34960.1, LOC_Os03g19427.1, LOC_Os05g10780.1, LOC_Os02g02400.1, LOC_Os03g57680.1, LOC_Os12g16200.1, LOC_Os02g19970.1, LOC_Os03g18130.1, LOC_Os11g29370.1, LOC_Os05g39770.1, LOC_Os04g01674.1, LOC_Os04g08350.1, LOC_Os06g23114.1, LOC_Os03g06620.1, LOC_Os04g57400.1, LOC_Os02g12900.1, LOC_Os10g37340.1, LOC_Os04g27830.1, LOC_Os01g07500.1, LOC_Os03g53650.1, LOC_Os06g33710.1, LOC_Os04g10410.1, LOC_Os02g53180.1, LOC_Os09g27750.1]",0.000163,"MH63_all",3.78781239559604
"16","Amino acid metabolism","A09100 Metabolism",94,1060,773,15766,1.14e-08,1.808689497,"[LOC_Os12g41390.1, LOC_Os03g12890.1, LOC_Os10g40360.1, LOC_Os05g48200.1, LOC_Os04g52440.1, LOC_Os03g20430.1, LOC_Os12g16350.1, LOC_Os09g37120.1, LOC_Os01g39860.1, LOC_Os01g48990.1, LOC_Os08g04540.1, LOC_Os10g25930.1, LOC_Os04g57410.1, LOC_Os12g34380.1, LOC_Os02g39790.1, LOC_Os03g09910.1, LOC_Os04g40040.1, LOC_Os02g41650.1, LOC_Os03g03910.1, LOC_Os11g11050.1, LOC_Os03g08660.1, LOC_Os11g08380.1, LOC_Os07g42924.1, LOC_Os11g42510.1, LOC_Os01g52260.1, LOC_Os04g43800.1, LOC_Os10g25130.1, LOC_Os07g43240.1, LOC_Os02g58510.1, LOC_Os05g43510.1, LOC_Os03g07570.1, LOC_Os04g37500.1, LOC_Os03g09020.1, LOC_Os04g01690.1, LOC_Os09g32290.1, LOC_Os05g03820.1, LOC_Os04g56400.1, LOC_Os01g68370.1, LOC_Os08g34720.1, LOC_Os03g57690.1, LOC_Os01g40860.1, LOC_Os04g38950.1, LOC_Os04g33390.1, LOC_Os10g41480.1, LOC_Os03g06990.1, LOC_Os01g65260.1, LOC_Os05g43830.1, LOC_Os01g12490.1, LOC_Os12g42980.1, LOC_Os04g47190.1, LOC_Os08g04560.1, LOC_Os01g09700.1, LOC_Os06g36880.1, LOC_Os04g48850.1, LOC_Os02g43280.1, LOC_Os09g08130.1, LOC_Os06g05700.1, LOC_Os03g19427.1, LOC_Os03g50490.1, LOC_Os04g57560.1, LOC_Os02g02400.1, LOC_Os05g35290.1, LOC_Os01g10940.1, LOC_Os02g02210.1, LOC_Os02g41670.1, LOC_Os02g19970.1, LOC_Os11g35040.1, LOC_Os05g45710.1, LOC_Os03g18130.1, LOC_Os11g29370.1, LOC_Os10g07229.1, LOC_Os02g42350.1, LOC_Os11g10520.1, LOC_Os06g36850.1, LOC_Os04g08350.1, LOC_Os06g39230.1, LOC_Os10g28360.1, LOC_Os03g58300.1, LOC_Os08g23150.1, LOC_Os04g57400.1, LOC_Os11g48110.1, LOC_Os02g20360.1, LOC_Os04g29000.1, LOC_Os01g07500.1, LOC_Os03g53650.1, LOC_Os06g33710.1, LOC_Os03g08530.1, LOC_Os05g05680.1, LOC_Os04g10410.1, LOC_Os03g10050.1, LOC_Os02g53180.1, LOC_Os03g31690.1, LOC_Os07g09630.1, LOC_Os02g41680.1]",2.06e-07,"Kit_all",6.68613277963083
"17","Metabolism of terpenoids and polyketides","A09100 Metabolism",65,1062,424,15766,3.18e-10,2.275854564,"[LOC_Os01g52790.1, LOC_Os02g36110.1, LOC_Os07g11050.1, LOC_Os02g17780.1, LOC_Os01g38580.1, LOC_Os07g13800.1, LOC_Os01g45460.1, LOC_Os01g50050.1, LOC_Os01g71310.1, LOC_Os03g25480.1, LOC_Os06g02019.1, LOC_Os07g48330.1, LOC_Os02g11130.1, LOC_Os06g51290.1, LOC_Os03g12900.1, LOC_Os03g59040.1, LOC_Os04g10010.1, LOC_Os01g63260.1, LOC_Os04g47720.1, LOC_Os08g36310.1, LOC_Os01g43710.1, LOC_Os01g43750.1, LOC_Os11g28530.1, LOC_Os05g40384.1, LOC_Os04g47770.1, LOC_Os11g01450.1, LOC_Os07g45290.1, LOC_Os09g19734.1, LOC_Os03g57690.1, LOC_Os04g09900.1, LOC_Os07g13770.1, LOC_Os06g37300.1, LOC_Os06g09210.1, LOC_Os02g36070.1, LOC_Os01g09260.1, LOC_Os02g48330.1, LOC_Os03g55230.1, LOC_Os01g14630.1, LOC_Os01g43700.1, LOC_Os09g26960.1, LOC_Os03g60960.1, LOC_Os04g44980.1, LOC_Os06g37224.1, LOC_Os01g08100.1, LOC_Os11g25454.1, LOC_Os09g34960.1, LOC_Os01g43774.1, LOC_Os07g18120.1, LOC_Os04g10060.1, LOC_Os07g46846.1, LOC_Os03g57680.1, LOC_Os03g59570.1, LOC_Os07g11739.1, LOC_Os02g39160.1, LOC_Os01g38110.1, LOC_Os01g55240.1, LOC_Os04g48880.1, LOC_Os09g31970.1, LOC_Os07g09190.1, LOC_Os01g08110.1, LOC_Os08g36860.1, LOC_Os09g27500.1, LOC_Os04g37619.1, LOC_Os08g39694.1, LOC_Os04g09920.1]",7.71e-09,"MH63_all",8.11294562194848
"18","Metabolism of terpenoids and polyketides","A09100 Metabolism",76,1060,424,15766,2.33e-15,2.666019936,"[LOC_Os06g39780.1, LOC_Os03g12660.1, LOC_Os01g52790.1, LOC_Os08g04500.1, LOC_Os02g36110.1, LOC_Os09g26940.1, LOC_Os07g11050.1, LOC_Os07g13800.1, LOC_Os01g45460.1, LOC_Os01g71310.1, LOC_Os04g46980.1, LOC_Os01g58790.1, LOC_Os09g27510.1, LOC_Os02g11130.1, LOC_Os07g39270.1, LOC_Os07g23570.1, LOC_Os02g42810.1, LOC_Os12g30824.1, LOC_Os01g63260.1, LOC_Os04g47720.1, LOC_Os08g36310.1, LOC_Os01g43710.1, LOC_Os04g44240.1, LOC_Os01g43750.1, LOC_Os11g28530.1, LOC_Os05g40384.1, LOC_Os02g51080.1, LOC_Os09g19734.1, LOC_Os03g57690.1, LOC_Os04g09900.1, LOC_Os01g40860.1, LOC_Os04g56230.1, LOC_Os07g13770.1, LOC_Os06g37300.1, LOC_Os06g09210.1, LOC_Os02g36070.1, LOC_Os01g09260.1, LOC_Os03g55230.1, LOC_Os06g04270.1, LOC_Os02g26014.1, LOC_Os07g13634.1, LOC_Os01g43700.1, LOC_Os09g26960.1, LOC_Os10g30410.1, LOC_Os08g33300.1, LOC_Os03g60960.1, LOC_Os04g44230.1, LOC_Os03g44380.1, LOC_Os04g44980.1, LOC_Os05g11130.1, LOC_Os06g37224.1, LOC_Os02g43280.1, LOC_Os11g25454.1, LOC_Os01g43774.1, LOC_Os03g31430.1, LOC_Os03g59570.1, LOC_Os02g39160.1, LOC_Os10g23180.1, LOC_Os02g02930.1, LOC_Os05g06670.1, LOC_Os03g63970.1, LOC_Os07g44140.1, LOC_Os04g44950.1, LOC_Os07g01340.1, LOC_Os06g39230.1, LOC_Os08g07120.1, LOC_Os07g09190.1, LOC_Os01g01710.1, LOC_Os01g08220.1, LOC_Os01g08110.1, LOC_Os09g27500.1, LOC_Os04g27070.1, LOC_Os06g37364.1, LOC_Os02g36220.1, LOC_Os04g09920.1, LOC_Os12g42280.1]",6.63e-14,"Kit_all",13.1784864060908
"19","Biosynthesis of other secondary metabolites","A09100 Metabolism",138,1062,658,15766,3.33e-16,3.113509522,"[LOC_Os01g59840.1, LOC_Os07g27880.1, LOC_Os03g02920.1, LOC_Os09g15500.1, LOC_Os10g39160.1, LOC_Os09g32964.1, LOC_Os07g07440.1, LOC_Os07g44590.1, LOC_Os08g01520.1, LOC_Os06g08610.1, LOC_Os06g46940.1, LOC_Os11g02100.1, LOC_Os08g20730.1, LOC_Os06g21570.1, LOC_Os02g56700.1, LOC_Os01g73190.1, LOC_Os11g20040.1, LOC_Os04g40040.1, LOC_Os04g43400.1, LOC_Os03g25300.1, LOC_Os04g59190.1, LOC_Os03g47860.1, LOC_Os10g17260.1, LOC_Os02g19924.1, LOC_Os04g39880.1, LOC_Os03g25330.1, LOC_Os04g43800.1, LOC_Os04g15920.1, LOC_Os05g04470.1, LOC_Os07g01370.1, LOC_Os11g32650.1, LOC_Os12g39170.1, LOC_Os04g59160.1, LOC_Os10g31780.1, LOC_Os06g08640.1, LOC_Os07g46280.1, LOC_Os08g38920.1, LOC_Os09g23560.1, LOC_Os11g40690.1, LOC_Os10g41720.1, LOC_Os08g02110.1, LOC_Os01g15810.1, LOC_Os10g23310.1, LOC_Os07g25590.1, LOC_Os10g23820.1, LOC_Os10g02380.1, LOC_Os01g18970.1, LOC_Os12g16240.1, LOC_Os02g52840.1, LOC_Os11g20160.1, LOC_Os06g24180.1, LOC_Os06g48000.1, LOC_Os06g23114.1, LOC_Os05g04450.1, LOC_Os07g01410.1, LOC_Os08g14760.1, LOC_Os02g14160.1, LOC_Os06g39330.1, LOC_Os10g36848.1, LOC_Os03g12890.1, LOC_Os10g16974.1, LOC_Os07g09890.1, LOC_Os03g25340.1, LOC_Os12g16410.1, LOC_Os10g01134.1, LOC_Os07g44550.1, LOC_Os03g53800.1, LOC_Os03g25280.1, LOC_Os08g04540.1, LOC_Os04g08550.1, LOC_Os05g37700.1, LOC_Os01g08440.1, LOC_Os02g10880.1, LOC_Os05g41990.1, LOC_Os01g15830.1, LOC_Os08g39870.1, LOC_Os01g18110.1, LOC_Os07g47990.1, LOC_Os07g17010.1, LOC_Os06g41070.1, LOC_Os11g43360.1, LOC_Os07g34710.1, LOC_Os09g23530.1, LOC_Os02g58720.1, LOC_Os11g42510.1, LOC_Os08g01510.1, LOC_Os03g25370.1, LOC_Os05g43510.1, LOC_Os06g35700.1, LOC_Os08g42030.1, LOC_Os07g44440.1, LOC_Os09g04050.1, LOC_Os02g03870.1, LOC_Os04g53860.1, LOC_Os08g06190.1, LOC_Os12g02080.1, LOC_Os03g08720.1, LOC_Os10g02040.1, LOC_Os10g17650.1, LOC_Os06g42130.1, LOC_Os03g13200.1, LOC_Os03g16230.1, LOC_Os11g24510.1, LOC_Os11g42290.1, LOC_Os09g33680.1, LOC_Os06g48010.1, LOC_Os08g04560.1, LOC_Os01g73170.1, LOC_Os11g43200.1, LOC_Os05g04440.1, LOC_Os05g25640.1, LOC_Os03g22010.1, LOC_Os03g19427.1, LOC_Os04g56910.1, LOC_Os02g14170.1, LOC_Os05g04500.1, LOC_Os03g13210.1, LOC_Os11g10460.1, LOC_Os02g19970.1, LOC_Os05g30350.1, LOC_Os09g15510.1, LOC_Os09g29490.1, LOC_Os07g31610.1, LOC_Os06g41810.1, LOC_Os01g54969.1, LOC_Os11g07960.1, LOC_Os10g33774.1, LOC_Os07g49360.1, LOC_Os07g44460.1, LOC_Os09g37200.1, LOC_Os05g04410.1, LOC_Os03g11420.1, LOC_Os04g56180.1, LOC_Os11g20090.1, LOC_Os12g08920.1, LOC_Os04g34630.1, LOC_Os01g36240.1, LOC_Os08g06170.1]",1.29e-14,"MH63_all",13.8894099530385
"20","Biosynthesis of other secondary metabolites","A09100 Metabolism",143,1060,658,15766,0,3.23240523,"[LOC_Os01g59840.1, LOC_Os07g34140.1, LOC_Os07g07440.1, LOC_Os07g44590.1, LOC_Os11g02100.1, LOC_Os08g20730.1, LOC_Os06g21570.1, LOC_Os02g56690.1, LOC_Os02g56700.1, LOC_Os02g56460.1, LOC_Os01g73190.1, LOC_Os06g29470.1, LOC_Os04g40040.1, LOC_Os04g43400.1, LOC_Os03g25300.1, LOC_Os04g53850.1, LOC_Os04g59190.1, LOC_Os03g47860.1, LOC_Os04g39880.1, LOC_Os03g25330.1, LOC_Os04g43800.1, LOC_Os04g15920.1, LOC_Os01g70525.1, LOC_Os03g13180.1, LOC_Os06g32990.1, LOC_Os06g33100.1, LOC_Os07g34260.1, LOC_Os10g02840.1, LOC_Os06g48020.1, LOC_Os04g59160.1, LOC_Os01g40860.1, LOC_Os10g31780.1, LOC_Os06g08640.1, LOC_Os07g46280.1, LOC_Os04g09720.1, LOC_Os04g47190.1, LOC_Os04g01354.1, LOC_Os09g23560.1, LOC_Os06g32960.1, LOC_Os06g35560.1, LOC_Os01g15810.1, LOC_Os10g02380.1, LOC_Os05g35290.1, LOC_Os01g10940.1, LOC_Os08g16910.1, LOC_Os11g20160.1, LOC_Os06g48000.1, LOC_Os04g55740.1, LOC_Os05g04450.1, LOC_Os06g39270.1, LOC_Os03g58300.1, LOC_Os11g48110.1, LOC_Os02g20360.1, LOC_Os05g30250.1, LOC_Os07g01410.1, LOC_Os09g25150.1, LOC_Os02g14160.1, LOC_Os06g39330.1, LOC_Os10g36848.1, LOC_Os02g41680.1, LOC_Os03g12890.1, LOC_Os10g16974.1, LOC_Os03g25340.1, LOC_Os07g44550.1, LOC_Os03g52040.1, LOC_Os03g31550.1, LOC_Os03g25280.1, LOC_Os08g04540.1, LOC_Os01g08440.1, LOC_Os07g05420.1, LOC_Os07g48010.1, LOC_Os06g32980.1, LOC_Os02g10880.1, LOC_Os10g02070.1, LOC_Os11g35930.1, LOC_Os11g20080.1, LOC_Os05g43940.1, LOC_Os01g18110.1, LOC_Os02g41650.1, LOC_Os11g43360.1, LOC_Os07g34710.1, LOC_Os09g23530.1, LOC_Os06g33080.1, LOC_Os11g42510.1, LOC_Os04g53810.1, LOC_Os08g01510.1, LOC_Os01g65690.1, LOC_Os11g25990.1, LOC_Os04g52280.1, LOC_Os01g50200.1, LOC_Os05g43510.1, LOC_Os10g02880.1, LOC_Os06g35700.1, LOC_Os04g20070.1, LOC_Os03g02180.1, LOC_Os10g29470.1, LOC_Os07g48040.1, LOC_Os07g44440.1, LOC_Os02g56680.1, LOC_Os09g31430.1, LOC_Os09g04050.1, LOC_Os02g03870.1, LOC_Os01g64520.1, LOC_Os04g53860.1, LOC_Os08g06190.1, LOC_Os03g08720.1, LOC_Os06g42130.1, LOC_Os06g33090.1, LOC_Os09g33680.1, LOC_Os05g30300.1, LOC_Os06g48010.1, LOC_Os08g04560.1, LOC_Os05g25640.1, LOC_Os03g22010.1, LOC_Os07g44430.1, LOC_Os03g19427.1, LOC_Os02g46260.1, LOC_Os04g53830.1, LOC_Os03g13210.1, LOC_Os02g41670.1, LOC_Os11g10460.1, LOC_Os02g19970.1, LOC_Os11g35040.1, LOC_Os05g30350.1, LOC_Os11g19880.1, LOC_Os06g20150.1, LOC_Os03g63970.1, LOC_Os10g02480.1, LOC_Os09g29490.1, LOC_Os06g41810.1, LOC_Os06g39230.1, LOC_Os11g07960.1, LOC_Os12g04080.1, LOC_Os10g33774.1, LOC_Os05g04490.1, LOC_Os02g14430.1, LOC_Os04g29000.1, LOC_Os03g11420.1, LOC_Os07g02440.1, LOC_Os11g20090.1, LOC_Os04g34630.1, LOC_Os08g06170.1, LOC_Os07g28040.1]",0,"Kit_all",20
"21","Unclassified: metabolism","A09190 Not Included in Pathway or Brite",67,1060,587,15766,1.35e-05,1.69766642,"[LOC_Os04g40620.1, LOC_Os05g26660.1, LOC_Os09g38239.1, LOC_Os02g08270.1, LOC_Os02g17900.1, LOC_Os02g44920.1, LOC_Os07g37730.1, LOC_Os10g35950.1, LOC_Os02g14190.1, LOC_Os11g20080.1, LOC_Os04g36720.1, LOC_Os07g41050.1, LOC_Os10g28240.1, LOC_Os03g10440.1, LOC_Os02g17880.1, LOC_Os06g39040.1, LOC_Os08g20130.1, LOC_Os04g51460.1, LOC_Os04g57090.1, LOC_Os08g14210.1, LOC_Os08g29170.1, LOC_Os07g48040.1, LOC_Os02g45890.1, LOC_Os08g17784.1, LOC_Os07g23430.1, LOC_Os05g38410.1, LOC_Os12g27350.1, LOC_Os08g14570.1, LOC_Os11g42200.1, LOC_Os08g44840.1, LOC_Os12g38770.1, LOC_Os06g50340.1, LOC_Os08g41880.1, LOC_Os01g62610.1, LOC_Os06g07760.1, LOC_Os02g26014.1, LOC_Os05g04584.1, LOC_Os02g30714.1, LOC_Os02g51660.1, LOC_Os09g32840.1, LOC_Os11g30810.1, LOC_Os04g44460.1, LOC_Os12g05540.1, LOC_Os01g50610.1, LOC_Os07g34640.1, LOC_Os02g28980.1, LOC_Os04g28420.1, LOC_Os04g51520.1, LOC_Os04g56950.1, LOC_Os01g56880.1, LOC_Os10g20610.1, LOC_Os08g40380.1, LOC_Os02g51440.1, LOC_Os12g38750.1, LOC_Os06g22919.1, LOC_Os08g07120.1, LOC_Os12g05510.1, LOC_Os07g14080.1, LOC_Os06g13560.1, LOC_Os01g71240.1, LOC_Os06g49660.1, LOC_Os03g10478.1, LOC_Os07g23410.1, LOC_Os03g59580.1, LOC_Os05g01030.1, LOC_Os10g03360.1, LOC_Os03g10640.1]",0.000149,"Kit_all",3.82681373158773
"22","Unclassified: metabolism","A09190 Not Included in Pathway or Brite",68,1062,587,15766,7.53e-06,1.719759895,"[LOC_Os11g05410.1, LOC_Os08g14180.1, LOC_Os04g40620.1, LOC_Os05g26660.1, LOC_Os01g20950.1, LOC_Os02g08270.1, LOC_Os02g17900.1, LOC_Os01g44330.1, LOC_Os03g56820.1, LOC_Os07g37730.1, LOC_Os07g23960.1, LOC_Os10g35950.1, LOC_Os02g14190.1, LOC_Os10g01650.1, LOC_Os03g10440.1, LOC_Os04g42830.1, LOC_Os02g17880.1, LOC_Os12g27254.1, LOC_Os08g20130.1, LOC_Os01g63190.1, LOC_Os02g45890.1, LOC_Os08g17784.1, LOC_Os07g23430.1, LOC_Os05g38410.1, LOC_Os11g42200.1, LOC_Os08g44840.1, LOC_Os12g38770.1, LOC_Os11g32750.1, LOC_Os08g41880.1, LOC_Os01g62480.1, LOC_Os01g62610.1, LOC_Os01g72460.1, LOC_Os03g18640.1, LOC_Os08g38920.1, LOC_Os04g40600.1, LOC_Os02g30714.1, LOC_Os08g25430.1, LOC_Os02g51660.1, LOC_Os09g32840.1, LOC_Os11g30810.1, LOC_Os06g48720.1, LOC_Os12g04220.1, LOC_Os01g50610.1, LOC_Os01g58640.1, LOC_Os04g28420.1, LOC_Os04g51520.1, LOC_Os04g56950.1, LOC_Os04g33530.1, LOC_Os10g20610.1, LOC_Os07g34580.1, LOC_Os02g02970.1, LOC_Os05g19910.1, LOC_Os07g36560.1, LOC_Os06g36270.1, LOC_Os03g62670.1, LOC_Os06g27760.1, LOC_Os12g05510.1, LOC_Os07g14080.1, LOC_Os04g51510.1, LOC_Os07g41460.1, LOC_Os01g71240.1, LOC_Os06g49660.1, LOC_Os03g10478.1, LOC_Os03g24600.1, LOC_Os07g23410.1, LOC_Os06g09610.1, LOC_Os10g03360.1, LOC_Os08g13980.1]",0.000104,"MH63_all",3.98296666070122
"23","alpha-Linolenic acid metabolism","A09100 Metabolism",11,1062,93,15766,0.047749269,1.755928153,"[LOC_Os06g11240.1, LOC_Os01g67530.1, LOC_Os01g06600.1, LOC_Os03g12500.1, LOC_Os08g39850.1, LOC_Os06g11210.1, LOC_Os06g11290.1, LOC_Os11g10510.1, LOC_Os01g50610.1, LOC_Os02g12690.1, LOC_Os12g26290.1]",0.174780345,"MH63_all",0.757507407731289
"24","alpha-Linolenic acid metabolism","A09100 Metabolism",20,1060,93,15766,2.85e-06,3.19862041,"[LOC_Os06g11240.1, LOC_Os02g12680.1, LOC_Os06g11260.1, LOC_Os01g06600.1, LOC_Os07g44560.1, LOC_Os06g11210.1, LOC_Os11g10520.1, LOC_Os06g23870.1, LOC_Os01g50610.1, LOC_Os03g04000.1, LOC_Os01g67530.1, LOC_Os03g12500.1, LOC_Os06g13560.1, LOC_Os08g39840.1, LOC_Os08g39850.1, LOC_Os06g11290.1, LOC_Os06g11280.1, LOC_Os05g29880.1, LOC_Os02g12690.1, LOC_Os04g37430.1]",3.33e-05,"Kit_all",4.47755576649368
"25","Stilbenoid, diarylheptanoid and gingerol biosynthesis","A09100 Metabolism",16,1060,81,15766,8.24e-05,2.93799208,"[LOC_Os07g34140.1, LOC_Os11g19880.1, LOC_Os11g20160.1, LOC_Os10g02880.1, LOC_Os11g07960.1, LOC_Os12g04080.1, LOC_Os05g25640.1, LOC_Os07g34260.1, LOC_Os10g02840.1, LOC_Os11g20080.1, LOC_Os11g20090.1, LOC_Os05g43940.1, LOC_Os03g08720.1, LOC_Os06g08640.1, LOC_Os03g47860.1, LOC_Os07g28040.1]",0.000607,"Kit_all",3.21681130892474
"26","Stilbenoid, diarylheptanoid and gingerol biosynthesis","A09100 Metabolism",19,1062,81,15766,1.29e-06,3.482295227,"[LOC_Os07g27880.1, LOC_Os08g38920.1, LOC_Os11g42290.1, LOC_Os11g20160.1, LOC_Os06g08610.1, LOC_Os01g54969.1, LOC_Os11g07960.1, LOC_Os11g32650.1, LOC_Os10g23310.1, LOC_Os09g37200.1, LOC_Os05g25640.1, LOC_Os11g20090.1, LOC_Os11g20040.1, LOC_Os10g23820.1, LOC_Os04g56910.1, LOC_Os07g17010.1, LOC_Os03g08720.1, LOC_Os06g08640.1, LOC_Os03g47860.1]",1.93e-05,"MH63_all",4.71444269099223
