SampleID	SoilType	Batch	dpi	Variety	SeqRegion	seqCompartment	replicate	Project	groups
o1_xgl_soil_1	Organic	1	14	MH63	V5toV7	Rhizo	1	1	OrganicRhizo
o1_xgl_soil_2	Organic	1	14	MH63	V5toV7	Rhizo	2	1	OrganicRhizo
o1_xgl_soil_3	Organic	1	14	MH63	V5toV7	Rhizo	3	1	OrganicRhizo
o2_xgl_soil_1	Organic	2	14	MH63	V5toV7	Rhizo	1	1	OrganicRhizo
o2_xgl_soil_2	Organic	2	14	MH63	V5toV7	Rhizo	2	1	OrganicRhizo
o2_xgl_soil_3	Organic	2	14	MH63	V5toV7	Rhizo	3	1	OrganicRhizo
o1_xgl_root_1	Organic	1	14	MH63	V5toV7	Root	1	1	OrganicRoot
o1_xgl_root_2	Organic	1	14	MH63	V5toV7	Root	2	1	OrganicRoot
o1_xgl_root_3	Organic	1	14	MH63	V5toV7	Root	3	1	OrganicRoot
o2_xgl_root_1	Organic	2	14	MH63	V5toV7	Root	1	1	OrganicRoot
o2_xgl_root_2	Organic	2	14	MH63	V5toV7	Root	2	1	OrganicRoot
o2_xgl_root_3	Organic	2	14	MH63	V5toV7	Root	3	1	OrganicRoot
s1_xgl_soil_1	Loam	1	14	MH63	V5toV7	Rhizo	1	1	LoamRhizo
s1_xgl_soil_2	Loam	1	14	MH63	V5toV7	Rhizo	2	1	LoamRhizo
s1_xgl_soil_3	Loam	1	14	MH63	V5toV7	Rhizo	3	1	LoamRhizo
s2_xgl_soil_1	Loam	2	14	MH63	V5toV7	Rhizo	1	1	LoamRhizo
s2_xgl_soil_2	Loam	2	14	MH63	V5toV7	Rhizo	2	1	LoamRhizo
s2_xgl_soil_3	Loam	2	14	MH63	V5toV7	Rhizo	3	1	LoamRhizo
XF1_1	Input	1	0	MH63	V5toV7	Input	1	1	Input
XF1_2	Input	1	0	MH63	V5toV7	Input	2	1	Input
XF1_3	Input	1	0	MH63	V5toV7	Input	3	1	Input
XF2_1	Input	2	0	MH63	V5toV7	Input	1	1	Input
XF2_2	Input	2	0	MH63	V5toV7	Input	2	1	Input
XF2_3	Input	2	0	MH63	V5toV7	Input	3	1	Input
s1_xgl_root_1	Loam	1	14	MH63	V5toV7	Root	1	1	LoamRoot
s1_xgl_root_2	Loam	1	14	MH63	V5toV7	Root	2	1	LoamRoot
s1_xgl_root_3	Loam	1	14	MH63	V5toV7	Root	3	1	LoamRoot
s2_xgl_root_1	Loam	2	14	MH63	V5toV7	Root	1	1	LoamRoot
s2_xgl_root_2	Loam	2	14	MH63	V5toV7	Root	2	1	LoamRoot
s2_xgl_root_3	Loam	2	14	MH63	V5toV7	Root	3	1	LoamRoot